@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_A_Cancelled,@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_A_Pending,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_O_Accepted,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Application_652823628 Offer_148581083,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1691306052 Offer_1669071500,17,2,1,0,0,1,1,1,0,2,0,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,17,0
 Offer_1209840642 Offer_997411923 Application_428409768,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_1319158006 Offer_774210695 Application_1746793196,33,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,1,1,0,2,0,1,1,2,2,1,25,1
 Application_828200680 Offer_607758096,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1085880569 Offer_644568599 Offer_213805292,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_1266995739 Offer_467024374,20,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,20,0
 Application_1878239836 Offer_117620760,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Application_619403287 Offer_1534843733,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_108214080 Application_1710223761,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1529124572 Offer_1217920740,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1750007091 Application_387012864,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1120819670 Offer_1365106765,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,0,19,0
 Offer_685676472 Application_42838382 Offer_1372889733 Offer_933028395,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Offer_833160233 Application_180547487,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1966208034 Offer_1967986467,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1806387393 Offer_1690361215,20,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,0,2,19,0
 Application_1111870538 Offer_792838244,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_608733999 Application_1017492916,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_2082119944 Offer_1335997058,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_758985626 Offer_203604417,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_866744603 Offer_476537784 Application_1018615109,26,4,1,1,1,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_442208740 Application_319587802 Offer_1377685007 Offer_1114437379,31,6,1,0,0,1,1,1,0,6,1,0,0,0,0,2,3,0,1,1,6,3,1,1,1,0,0,1,25,4
 Offer_829342969 Application_1846626914,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_546206358 Offer_603196958,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Offer_1350435827 Offer_1148420274 Offer_247135719 Application_196483749 Offer_941964966,32,8,0,0,0,1,1,0,0,8,0,1,1,0,0,2,4,0,0,0,0,3,0,1,1,8,0,1,23,1
 Offer_1562601661 Application_1363980603,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_135958834 Application_1553362978 Offer_517896136 Offer_942936446,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Offer_1345717143 Offer_2016276809 Application_1197857445,22,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,1,1,0,2,0,1,1,4,0,1,19,0
 Offer_1262676703 Offer_2004924770 Offer_2100546231 Application_931862671,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Offer_1015515944 Application_2012588584 Offer_1207095934,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
 Offer_717881165 Offer_821428928 Offer_1546586848 Application_1825972191,38,6,3,2,2,1,1,3,0,6,1,1,0,0,1,2,3,0,0,1,0,2,0,1,1,4,2,1,27,1
 Offer_868206108 Application_1059184025 Offer_1215355195 Offer_1560716493,32,6,2,1,1,1,1,2,0,6,1,0,0,0,1,2,3,0,0,0,0,2,0,1,1,4,2,1,25,1
 Application_1395142997 Offer_682031123,19,2,1,0,0,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Offer_274484173 Application_2015287405 Offer_1562802810,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_1569511625 Application_1193723578 Offer_1882639895,28,4,2,1,1,1,1,2,0,4,1,0,0,0,0,2,2,0,0,1,4,2,1,1,1,0,0,1,23,4
 Offer_82088369 Application_2049529862,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_684486794 Offer_818647679 Offer_1301660092 Application_1699757505,34,6,2,1,1,1,1,2,0,6,1,1,0,0,1,2,3,0,0,1,0,2,0,1,1,4,2,1,27,1
 Application_493034835 Offer_1236377933,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_842511489 Offer_1647711220,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1462457804 Offer_1124029698 Application_1474017032,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
 Offer_1078348600 Application_1397856354,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Offer_106103074 Offer_410150818 Offer_565270328 Application_767475240 Offer_243419316 Offer_1069431412 Offer_1394845612,55,12,3,2,2,1,1,3,0,12,2,2,0,0,1,2,6,0,0,0,0,3,0,1,1,10,2,1,35,2
 Offer_1895984048 Application_980495316,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_1525129982 Application_2035768049,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1271155187 Application_1307111345,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_102669259 Application_821425679,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1294530310 Offer_1183140970,19,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_470922426 Offer_927638197,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_800413592 Application_1461440233 Offer_750441445,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_857715587 Offer_829153695,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_351152063 Offer_298401496,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1047899891 Offer_426048672 Application_1547844908,32,4,3,2,2,1,1,3,0,4,2,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,24,1
 Application_2055987002 Offer_213718197,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_1118236712 Offer_1335581927,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1234535641 Offer_1128644000 Offer_794719051,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_1898882436 Offer_1144381558,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_394850673 Application_2113276114,24,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_1891113448 Application_1603124379 Offer_17122797,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,1
 Application_2110144842 Offer_211747135,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Application_486645986 Offer_1551167005 Offer_210781714,29,4,2,1,1,1,1,2,0,4,2,1,0,0,1,2,2,0,0,1,0,1,0,1,1,2,2,1,25,4
 Offer_596592747 Application_587387633,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_901793095 Offer_863002977,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1088813920 Application_340403559 Offer_1585131667,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_1780347374 Offer_201843452 Offer_1982495450 Offer_1284560550 Offer_960229906 Application_1825104006,39,10,0,0,0,1,1,0,0,10,0,0,1,0,0,2,5,0,0,1,0,5,0,1,1,10,0,1,27,1
 Application_1530322400 Offer_780795272,21,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,21,0
 Application_593655901 Offer_156262203 Offer_12427732,22,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,1,1,0,2,0,1,1,4,0,1,19,0
 Offer_290118338 Application_1535675187,31,2,4,3,3,1,1,4,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,5
 Offer_656491364 Offer_329727374 Application_1767756144,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Application_1405679737 Offer_1636586660,25,2,2,2,2,1,1,3,0,2,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,20,5
 Offer_464709031 Offer_782570089 Application_446334558,21,4,0,0,0,1,1,0,0,4,0,1,1,0,0,2,2,0,0,1,0,1,0,1,1,4,0,1,18,0
 Offer_915279720 Application_130460765 Offer_1583358802,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Application_1300843234 Offer_1713418619 Offer_207015621,27,4,2,1,1,1,1,2,0,4,1,0,0,0,0,2,2,0,0,1,4,1,1,1,1,0,0,1,22,4
 Offer_1927106744 Application_1588619628 Offer_776746829 Offer_859722858,28,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,1,1,0,3,0,1,1,6,0,1,22,4
 Application_505474597 Offer_1570293951 Offer_253054789 Offer_1520154683,30,6,1,0,0,1,1,1,0,6,1,1,0,0,1,2,3,0,0,1,0,2,0,1,1,4,2,1,25,1
 Application_1765204099 Offer_468094544 Offer_1944743744,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Application_1624825294 Offer_747675742,21,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,21,0
 Offer_1060307614 Application_1448214642 Offer_1249935942,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,1
 Application_987262285 Offer_1651128996,19,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,0,1,19,0
 Offer_236427577 Offer_1576107007 Application_1845547664,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,1,0,1,1,2,2,2,23,4
 Application_1947648225 Offer_1334090954 Offer_2009051188 Offer_270784256,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Application_1130101747 Offer_648594737,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1497266486 Application_798605556,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_2062932311 Offer_2083931403,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1600065420 Application_430902047,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
