@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Offer_1669071500 Application_1691306052,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,0
 Application_1878239836 Offer_117620760,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1690361215 Application_1806387393,-0.6491228070175439,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.5,-0.4375,0
 Offer_1114437379 Offer_1377685007 Application_319587802 Offer_442208740,-0.2631578947368422,-0.5,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.5,-0.3333333333333333,-1.0,-1.0,0.0,-0.5,-1.0,-0.5,1.0,-0.4285714285714285,-0.1428571428571429,-1.0,-1.0,1.0,-1.0,-0.75,-0.0625,3
 Offer_603196958 Application_546206358,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1193723578 Offer_1882639895 Offer_1569511625,-0.368421052631579,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.1875,3
 Offer_1713418619 Offer_207015621 Application_1300843234,-0.4035087719298246,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,3
 Offer_1651128996 Application_987262285,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_739070387 Application_396349881,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_1574564290 Offer_1275473738 Offer_570682907 Application_58755651,-0.2982456140350877,-0.5,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.5,-0.3333333333333333,-0.3333333333333333,-1.0,0.0,-0.5,-1.0,-1.0,1.0,-0.4285714285714285,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.125,3
